name,party,votes,isWinner,isIncumbent,district
Christian Nascimento,R,141986,False,False,PA04
Mary Gay Scanlon,D,205128,True,True,PA05
David Galluch,R,110058,False,False,PA05
Chrissy Houlahan,D,190386,True,True,PA06
Guy Ciarrocchi,R,136097,False,False,PA06
Susan Wild,D,151358,True,True,PA07
Lisa Scheller,R,145523,False,False,PA07
Matt Cartwright,D,146502,True,True,PA08
Jim Bognet,R,139468,False,False,PA08
Scott Perry,R,168810,True,True,PA10
Shamaine Daniels,D,144161,False,False,PA10
Lloyd Smucker,R,194392,True,True,PA11
Bob Hollister,D,121089,False,False,PA11
Summer Lee,D,184674,True,False,PA12
Mike Doyle,R,143846,False,False,PA12
John Joyce,R,0,True,True,PA13
Guy Reschenthaler,R,0,True,True,PA14
Mike Kelly,R,190064,True,True,PA16
Dan Pastore,D,130003,False,False,PA16
Chris Deluzio,D,193393,True,False,PA17
Jeremy Shaffer,R,168902,False,False,PA17
Brendan Boyle,D,141229,True,True,PA02
Aaron Bashir,R,45454,False,False,PA02
Dan Meuser,R,208413,True,True,PA09
Amanda Waldman,D,92258,False,False,PA09
Glenn Thompson,R,213818,True,True,PA15
Michael Molesevich,D,91670,False,False,PA15
David Cicilline,D,99802,True,True,RI01
Allen Waters,R,55909,False,False,RI01
Seth Magaziner,D,100919,True,False,RI02
Allan Fung,R,93637,False,False,RI02
Joe Wilson,R,147699,True,True,SC02
Judd Larkins,D,98081,False,False,SC02
Jeff Duncan,R,0,True,True,SC03
William Timmons,R,0,True,True,SC04
James Clyburn,D,130923,True,True,SC06
Duke Buckner,R,79879,False,False,SC06
Russell Fry,R,164440,True,False,SC07
Daryl Scott,D,89030,False,False,SC07
Nancy Mace,R,153757,True,True,SC01
Annie Andrews,D,115796,False,False,SC01
Ralph Norman,R,154725,True,True,SC05
Evangeline Hundley,D,83299,False,False,SC05
Dusty Johnson,R,253786,True,True,SD00
Diana Harshbarger,R,147253,True,True,TN01
Cameron Parsons,D,37032,False,False,TN01
Tim Burchett,R,141041,True,True,TN02
Mark Harmon,D,66637,False,False,TN02
Chuck Fleischmann,R,136193,True,True,TN03
Meg Gorman,D,60250,False,False,TN03
Scott DesJarlais,R,122336,True,True,TN04
Wayne Steele,D,44628,False,False,TN04
Andy Ogles,R,123358,True,False,TN05
Heidi Campbell,D,93375,False,False,TN05
John Rose,R,129311,True,True,TN06
Randal Cooper,D,65598,False,False,TN06
Mark Green,R,108358,True,True,TN07
Odessa Kelly,D,68897,False,False,TN07
David Kustoff,R,156628,True,True,TN08
Lynnette Williams,D,51826,False,False,TN08
Steve Cohen,D,93755,True,True,TN09
Charlotte Bergmann,R,35112,False,False,TN09
Nathaniel Moran,R,183005,True,False,TX01
Jrmar Jefferson,D,51288,False,False,TX01
Dan Crenshaw,R,151369,True,True,TX02
Robin Fulford,D,78216,False,False,TX02
Keith Self,R,163945,True,False,TX03
Sandeep Srivastava,D,99764,False,False,TX03
Pat Fallon,R,170467,True,True,TX04
Iro Omere,D,78866,False,False,TX04
Lance Gooden,R,135990,True,True,TX05
Tartisha Hill,D,71770,False,False,TX05
Jake Ellzey,R,0,True,True,TX06
Lizzie Fletcher,D,115390,True,True,TX07
Johnny Teague,R,65593,False,False,TX07
Morgan Luttrell,R,152797,True,False,TX08
Laura Jones,D,68485,False,False,TX08
Al Green,D,124893,True,True,TX09
Jimmy Leon,R,38019,False,False,TX09
Michael McCaul,R,158784,True,True,TX10
Linda Nuno,D,86123,False,False,TX10
August Pfluger,R,0,True,True,TX11
Kay Granger,R,152732,True,True,TX12
Trey Hunt,D,84879,False,False,TX12
Ronny Jackson,R,161562,True,True,TX13
Kathleen Brown,D,52739,False,False,TX13
Randy Weber,R,149317,True,True,TX14
Mikal Williams,D,68386,False,False,TX14
Monica De La Cruz,R,80869,True,False,TX15
Michelle Vallejo,D,67913,False,False,TX15
Veronica Escobar,D,94266,True,True,TX16
Irene Armendariz-Jackson,R,54697,False,False,TX16
Pete Sessions,R,144183,True,True,TX17
Mary Jo Woods,D,72647,False,False,TX17
Sheila Jackson Lee,D,109968,True,True,TX18
Carmen Montiel,R,40761,False,False,TX18
Jodey Arrington,R,152042,True,True,TX19
Joaquin Castro,D,114822,True,True,TX20
Kyle Sinclair,R,53059,False,False,TX20
Chip Roy,R,206786,True,True,TX21
Claudia Zapata,D,121936,False,False,TX21
Troy Nehls,R,149757,True,True,TX22
Jamie Jordan,D,85440,False,False,TX22
Tony Gonzales,R,116172,True,True,TX23
John Lira,D,80430,False,False,TX23
Beth Van Duyne,R,177121,True,True,TX24
Jan McDowell,D,119097,False,False,TX24
Roger Williams,R,0,True,True,TX25
Michael Burgess,R,183379,True,True,TX26
Michael Cloud,R,133286,True,True,TX27
Maclovio Perez,D,73370,False,False,TX27
Sylvia Garcia,D,71379,True,True,TX29
Robert Schafranek,R,28635,False,False,TX29
Jasmine Crockett,D,134011,True,False,TX30
James Rodgers,R,39022,False,False,TX30
Henry Cuellar,D,93393,True,True,TX28
Cassy Garcia,R,71564,False,False,TX28
John Carter,R,0,True,True,TX31
Colin Allred,D,115350,True,True,TX32
Antonio Swad,R,61232,False,False,TX32
Marc Veasey,D,81764,True,True,TX33
Patrick Gillespie,R,29099,False,False,TX33
Vicente Gonzalez,D,70759,True,True,TX34
Mayra Flores,R,59404,False,True,TX34
Greg Casar,D,129084,True,False,TX35
Dan McQueen,R,48831,False,False,TX35
Brian Babin,R,145142,True,True,TX36
Jon Haire,D,63697,False,False,TX36
Lloyd Doggett,D,219149,True,True,TX37
Jenny Garcia Sharon,R,59879,False,False,TX37
Wesley Hunt,R,162992,True,False,TX38
Duncan Klussmann,D,91768,False,False,TX38
Blake Moore,R,178434,True,True,UT01
Rick Jones,D,87986,False,False,UT01
Chris Stewart,R,154883,True,True,UT02
Nick Mitchell,D,88224,False,False,UT02
Burgess Owens,R,155110,True,True,UT04
Darlene McDonald,D,82181,False,False,UT04
John Curtis,R,182497,True,True,UT03
Glenn Wright,D,83687,False,False,UT03
Rob Wittman,R,197789,True,True,VA01
Herbert Jones,D,148884,False,False,VA01
Jen Kiggans,R,153328,True,False,VA02
Elaine Luria,D,143219,False,True,VA02
Robert Scott,D,139659,True,True,VA03
Terry Namkung,R,67668,False,False,VA03
Donald McEachin,D,159912,True,True,VA04
Leon Benjamin,R,88587,False,False,VA04
Robert Good,R,177191,True,True,VA05
Joshua Throneburg,D,129996,False,False,VA05
Ben Cline,R,173352,True,True,VA06
Jennifer Lewis,D,95410,False,False,VA06
Abigail Spanberger,D,143357,True,True,VA07
Yesli Vega,R,130586,False,False,VA07
Donald Beyer,D,197760,True,True,VA08
Karina Lipsman,R,66589,False,False,VA08
Morgan Griffith,R,182207,True,True,VA09
Taysha DeVaughan,D,66027,False,False,VA09
Jennifer Wexton,D,157405,True,True,VA10
Hung Cao,R,138163,False,False,VA10
Gerald Connolly,D,193190,True,True,VA11
James Myles,R,95634,False,False,VA11
Becca Balint,D,175484,True,False,VT00
Liam Madden,R,78167,False,False,VT00
Suzan DelBene,D,181992,True,True,WA01
Vincent Cavaleri,R,104329,False,False,WA01
Adam Smith,D,171746,True,True,WA09
Doug Basler,R,67631,False,False,WA09
Rick Larsen,D,202980,True,True,WA02
Dan Matthews,R,134335,False,False,WA02
Marie Gluesenkamp Perez,D,160314,True,False,WA03
Joe Kent,R,157685,False,False,WA03
Dan Newhouse,R,150342,True,True,WA04
Doug White,D,70514,False,False,WA04
Cathy McMorris Rodgers,R,188648,True,True,WA05
Natasha Hill,D,127585,False,False,WA05
Derek Kilmer,D,208710,True,True,WA06
Elizabeth Kreiselmaier,R,138754,False,False,WA06
Pramila Jayapal,D,295998,True,True,WA07
Cliff Moon,R,49207,False,False,WA07
Kim Schrier,D,179003,True,True,WA08
Matt Larkin,R,155976,False,False,WA08
Marilyn Strickland,D,152544,True,True,WA10
Keith Swank,R,114777,False,False,WA10
Bryan Steil,R,162566,True,True,WI01
Ann Roe,D,135791,False,False,WI01
Mark Pocan,D,268740,True,True,WI02
Erik Olsen,R,101889,False,False,WI02
Derrick Van Orden,R,164633,True,False,WI03
Brad Pfaff,D,152939,False,False,WI03
Gwen Moore,D,192226,True,True,WI04
Tim Rogers,R,57660,False,False,WI04
Scott Fitzgerald,R,243734,True,True,WI05
Mike Van Someren,D,134572,False,False,WI05
Glenn Grothman,R,0,True,True,WI06
Tom Tiffany,R,209270,True,True,WI07
Richard Ausman,D,128895,False,False,WI07
Mike Gallagher,R,223806,True,True,WI08
Carol Miller,R,151511,True,True,WV01
Lacy Watson,D,65428,False,False,WV01
Alexander Mooney,R,160493,True,True,WV02
Barry Wendell,D,84278,False,False,WV02
Harriet Hageman,R,132215,True,False,WY00
Lynnette GreyBull,D,47241,False,False,WY00
